unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density
[0],"[(3080.0, -1417.5)]","[0, 1, 2]","[596.9849240347374, 373.9943387393817, 313.76099691358627]","[240.00859123708014, 325.1677349685282, 293.5137846600956]","[0.9466034173017103, 0.9551282052840077, 0.9654707545118502]",[13118],[0.001894484109433247]
[8],"[(1680.0, -1907.5)]",[0],[60.57111021405293],[268.4963764509346],[0.9754473255822549],[1000],[0.00014518278966915563]
[16],"[(2257.5, -1960.0)]",[0],[161.08870512127902],[526.136474802516],[0.9985924641035481],[4032],[0.0005822960763252669]
[11],"[(1732.5, -385.0)]","[0, 1]","[614.272253935083, 431.45516654212304]","[339.81693332134193, 328.7794310543908]","[0.9701267026167208, 0.8411131240468513]",[13118],[0.001894484109433247]
[15],"[(2135.0, -2065.0)]",[0],[409.7253927659432],[163.17971810589327],[0.9362964097203165],[13118],[0.001894484109433247]
[17],"[(2047.5, -140.0)]",[0],[249.10597878487133],[219.92593013048077],[0.869704651706157],[13118],[0.001894484109433247]
[34],"[(2327.5, -752.5)]","[0, 1]","[93.72718367782454, 41.92852733298133]","[378.1349383774002, 406.9539938624352]","[0.9869895920488814, 0.9391508427287574]",[999],[0.00014503760687948648]
[56],"[(2082.5, -787.5)]",[0],[169.3331618789054],[523.6560168604059],[0.9248467664292307],[9319],[0.0013458375831535622]
[44],"[(1627.5, -717.5)]",[0],[82.25327710678458],[402.2729292504838],[0.9890064319305966],[13118],[0.001894484109433247]
[61],"[(1435.0, -437.5)]",[0],[148.78965578467435],[433.9924591057782],[0.9588062663976792],[13118],[0.001894484109433247]
[74],"[(437.5, -332.5)]",[0],[474.3826435069517],[272.55660815486044],[0.9245122358582856],[13118],[0.001894484109433247]
[76],"[(437.5, -332.5)]",[0],[319.6562080233701],[188.64929781442572],[0.9867080399607716],[13118],[0.001894484109433247]
[84],"[(1715.0, -1907.5)]",[0],[424.53427460182417],[290.5816411683023],[0.9914930944136513],[13118],[0.001894484109433247]
[107],"[(1837.5, -892.5)]",[0],[485.6902165946441],[273.85943621178654],[0.9876024227437886],[13118],[0.001894484109433247]
[66],"[(1575.0, -87.5)]",[0],[130.81112679335],[916.3503492172606],[0.8179308225224313],[2509],[0.000362346442336333]
[133],"[(437.5, -332.5)]",[0],[296.8212164860681],[389.9942075012557],[0.9961831464610752],[13118],[0.001894484109433247]
[140],"[(2170.0, -472.5)]",[0],[152.3080032373643],[679.0973298078093],[0.928123603033175],[13118],[0.001894484109433247]
[101],"[(2117.5, -1977.5)]","[0, 1, 2]","[680.3642775692696, 652.2624947325497, 236.07291691794788]","[200.36904841415847, 284.4770742683953, 129.47104865919295]","[0.9240224641842403, 0.9558295511174226, 0.8203781944509366]",[13118],[0.001894484109433247]
[150],"[(2012.5, -822.5)]",[0],[71.93971672964274],[309.60440721511816],[0.9955574482661064],[13118],[0.001894484109433247]
[42],"[(1225.0, -1085.0)]","[0, 1]","[210.15933410733635, 69.52523910597121]","[1559.7956605850106, 679.8576554997203]","[0.8731509932160927, 0.9743552675967873]",[4786],[0.0006911877532968074]
[182],"[(2012.5, -822.5)]","[0, 1]","[212.84700539659707, -185.17257755704946]","[506.7068771293379, 229.038408565111]","[0.9635894554209573, 0.9417087010815349]",[12358],[0.0017847259204433652]
[161],"[(2012.5, -140.0)]",[0],[107.61332244521445],[751.5495372471532],[0.9593583449884577],[4027],[0.0005815739829766493]
[193],"[(1330.0, -105.0)]",[0],[523.3542581356415],[315.757599912859],[0.9939303660153246],[13118],[0.001894484109433247]
[67],"[(2292.5, -1347.5)]","[0, 1, 2, 3]","[190.591355107242, 80.84577188340873, 67.14092128873976, 86.3128869769942]","[886.3714212380422, 524.1737240921424, 391.9313659514949, 582.1896510869822]","[0.9971412113060781, 0.9099652154341835, 0.8943614325699064, 0.9199333132207688]",[4794],[0.0006923431026545956]
