,Total Spikes,Firing Rate (Hz),Mean ISI (s),Std ISI (s),Number of Bursts,Spikes per Burst,Burst Peak (s)
11,1,0.0,,,0,0,
15,11,0.18333333333333332,4.0738199999999996,2.16338553651447,0,1,0.0
19,8,0.13333333333333333,5.880857142857144,7.753100727332469,0,1,0.0
31,3,0.05,9.229449999999998,7.364050000000004,0,1,0.0
35,1,0.0,,,0,0,
37,0,0.0,,,0,0,
39,0,0.0,,,0,0,
51,0,0.0,,,0,0,
93,12,0.2,1.8863999999999999,2.3222030128150446,1,2,6.695599999999999
95,0,0.0,,,0,0,
101,4,0.06666666666666667,4.649966666666666,2.881122827803229,0,1,0.0
103,13,0.21666666666666667,4.406258333333334,3.6059840377855092,1,2,12.1655
111,13,0.21666666666666667,4.3937083333333335,3.7031454176277245,1,2,11.109399999999997
127,10,0.16666666666666666,5.472344444444444,4.606065085204051,0,1,0.0
135,2,0.03333333333333333,41.600300000000004,0.0,0,1,0.0
163,1,0.0,,,0,0,
167,0,0.0,,,0,0,
183,0,0.0,,,0,0,
203,0,0.0,,,0,0,
207,1,0.0,,,0,0,
215,0,0.0,,,0,0,
227,6,0.1,7.670139999999999,4.09850510727997,0,1,0.0
247,0,0.0,,,0,0,
251,14,0.23333333333333334,4.056169230769231,2.940194825408845,0,1,0.0
295,0,0.0,,,0,0,
307,0,0.0,,,0,0,
311,10,0.16666666666666666,5.759988888888889,4.7562376506937225,0,1,0.0
315,4,0.06666666666666667,11.374,10.75239404907887,0,1,0.0
319,14,0.23333333333333334,4.468707692307692,3.7692490960935925,0,1,0.0
343,8,0.13333333333333333,7.466499999999999,4.583415208896402,0,1,0.0
355,1,0.0,,,0,0,
359,0,0.0,,,0,0,
371,0,0.0,,,0,0,
375,25,0.4166666666666667,2.1249291666666665,2.3522567834739694,1,2,11.679899999999996
379,4,0.06666666666666667,9.845666666666668,11.69623871801909,0,1,0.0
389,0,0.0,,,0,0,
395,0,0.0,,,0,0,
403,0,0.0,,,0,0,
411,8,0.13333333333333333,5.152728571428571,5.039184893190077,1,2,16.851799999999997
423,5,0.08333333333333333,4.2812,2.2949492565196326,0,1,0.0
427,0,0.0,,,0,0,
435,5,0.08333333333333333,6.77305,3.215931129937332,0,1,0.0
459,0,0.0,,,0,0,
483,25,0.4166666666666667,2.273641666666667,2.2925312580414734,2,3,9.483699999999999
499,4,0.06666666666666667,7.352900000000001,5.917801643065324,0,1,0.0
507,0,0.0,,,0,0,
547,3,0.05,22.83515,16.142049999999998,0,1,0.0
555,0,0.0,,,0,0,
571,1,0.0,,,0,0,
575,17,0.2833333333333333,3.5270875000000004,2.8309977781417897,0,1,0.0
599,10,0.16666666666666666,5.589366666666667,7.3514815642079165,1,2,24.6198
603,2,0.03333333333333333,5.5548,0.0,0,1,0.0
607,0,0.0,,,0,0,
615,14,0.23333333333333334,4.062361538461539,3.229321491377802,1,2,10.691699999999997
619,2,0.03333333333333333,57.1964,0.0,0,1,0.0
635,1,0.0,,,0,0,
651,17,0.2833333333333333,3.2764625,3.139244617315406,0,1,0.0
659,9,0.15,5.8951625,4.95221557838951,0,1,0.0
663,0,0.0,,,0,0,
667,12,0.2,4.7911363636363635,6.178065673195297,1,2,21.561799999999998
671,0,0.0,,,0,0,
675,2,0.03333333333333333,20.638600000000004,0.0,0,1,0.0
679,4,0.06666666666666667,12.315633333333333,7.577378207239993,0,1,0.0
687,0,0.0,,,0,0,
703,8,0.13333333333333333,5.3366999999999996,5.160205714337918,0,1,0.0
707,1,0.0,,,0,0,
715,8,0.13333333333333333,6.201671428571429,2.7378688978913526,0,1,0.0
717,2,0.03333333333333333,14.707500000000003,0.0,0,1,0.0
719,0,0.0,,,0,0,
755,0,0.0,,,0,0,
763,0,0.0,,,0,0,
767,7,0.11666666666666667,7.999399999999999,6.71854033030985,1,2,20.932499999999997
783,0,0.0,,,0,0,
787,0,0.0,,,0,0,
799,10,0.16666666666666666,4.5287,5.70683690108238,1,2,18.375799999999998
803,1,0.0,,,0,0,
807,24,0.4,2.1490652173913043,2.419043639380024,2,3,9.0613
819,2,0.03333333333333333,2.1260000000000003,0.0,0,1,0.0
831,11,0.18333333333333332,5.17704,3.733267577123289,0,1,0.0
855,3,0.05,16.34975,0.6617500000000005,0,1,0.0
863,1,0.0,,,0,0,
879,4,0.06666666666666667,12.510566666666668,12.464429772311641,0,1,0.0
887,0,0.0,,,0,0,
891,1,0.0,,,0,0,
895,9,0.15,6.9878375,6.935325904551549,0,1,0.0
902,0,0.0,,,0,0,
906,21,0.35,2.8569549999999997,3.6556212913094535,0,1,0.0
914,0,0.0,,,0,0,
927,3,0.05,20.912,10.317399999999996,0,1,0.0
930,1,0.0,,,0,0,
931,2,0.03333333333333333,33.3528,0.0,0,1,0.0
935,1,0.0,,,0,0,
959,0,0.0,,,0,0,
975,3,0.05,13.698849999999998,2.9126499999999975,0,1,0.0
995,21,0.35,2.571205,2.5993076490625344,2,3,8.3433
999,1,0.0,,,0,0,
